date,season,home_team,away_team,home_pts,away_pts,home_win,home_win_prob,home_elo,away_elo
11/2/2004,2005,DAL,SAC,107,98,1,0.63650036,1595.4857,1598.1678
11/2/2004,2005,DET,HOU,87,79,1,0.79654163,1662.7926,1525.6995
11/2/2004,2005,LAL,DEN,89,78,1,0.74943227,1624.9445,1534.6216
11/3/2004,2005,BOS,PHI,95,98,0,0.65359545,1436.3031,1426.0129
11/3/2004,2005,CLE,IND,104,109,0,0.40145019,1450.4569,1619.8444
11/3/2004,2005,GSW,POR,75,78,0,0.61507863,1500.8945,1519.4711
11/3/2004,2005,LAC,SEA,114,84,1,0.44957945,1377.0289,1512.1842
11/3/2004,2005,MEM,WAS,91,103,0,0.82856774,1543.134,1369.4398
11/3/2004,2005,MIN,NYK,99,93,1,0.8223477,1621.616,1455.4221
11/3/2004,2005,NJN,MIA,77,100,0,0.65988368,1556.7152,1541.5792
11/3/2004,2005,NOH,DAL,91,106,0,0.48016444,1488.2606,1602.051
11/3/2004,2005,ORL,MIL,93,92,1,0.43613169,1344.4834,1489.1074
11/3/2004,2005,PHO,ATL,112,82,1,0.66981113,1452.5197,1429.6437
11/3/2004,2005,SAS,SAC,101,85,1,0.73092467,1665.202,1591.6025
11/3/2004,2005,TOR,HOU,95,88,1,0.47598797,1405.8959,1522.594
11/3/2004,2005,UTA,LAL,104,78,1,0.45429233,1497.8837,1629.7335
11/4/2004,2005,CHA,WAS,96,103,0,0.50844926,1300.0,1394.1283
11/4/2004,2005,DEN,MIN,94,92,1,0.50856394,1529.8325,1623.8811
11/4/2004,2005,MIA,CLE,92,86,1,0.7828238,1567.8445,1445.1038
11/5/2004,2005,BOS,IND,94,100,0,0.36404347,1428.2878,1625.1975
11/5/2004,2005,CHI,NJN,106,111,0,0.39941964,1359.5933,1530.45
11/5/2004,2005,GSW,UTA,80,102,0,0.60432309,1493.538,1519.9666
11/5/2004,2005,LAL,SAS,96,105,0,0.55134666,1607.6506,1671.8451
11/5/2004,2005,MEM,HOU,81,89,0,0.6463896,1518.4456,1513.6578
11/5/2004,2005,NOH,ORL,89,90,0,0.78625023,1475.4724,1349.2103
11/5/2004,2005,PHI,PHO,98,108,0,0.59713018,1434.0282,1465.6665
11/5/2004,2005,POR,LAC,94,81,1,0.78505802,1526.8276,1401.7954
11/5/2004,2005,SEA,ATL,106,85,1,0.72788131,1487.4177,1416.4968
11/5/2004,2005,TOR,DET,101,89,1,0.29533628,1414.832,1665.8981
11/6/2004,2005,CHA,ORL,111,100,1,0.54939246,1291.4047,1356.9709
11/6/2004,2005,DAL,MEM,112,88,1,0.76928562,1614.8392,1505.634
11/6/2004,2005,DEN,UTA,82,106,0,0.62953001,1534.5591,1542.4537
11/6/2004,2005,DET,PHI,99,91,1,0.86743736,1647.2445,1420.9177
11/6/2004,2005,GSW,LAC,86,94,0,0.73106009,1471.0508,1397.3317
11/6/2004,2005,HOU,SAC,104,101,1,0.55945492,1526.4694,1584.9595
11/6/2004,2005,IND,CHI,100,90,1,0.89708894,1630.4225,1354.2731
11/6/2004,2005,MIL,CLE,102,88,1,0.69384378,1484.3805,1442.2531
11/6/2004,2005,MIN,NOH,99,92,1,0.80960119,1619.1545,1467.7118
11/6/2004,2005,NJN,PHO,80,112,0,0.71171445,1535.7701,1478.777
11/6/2004,2005,NYK,BOS,73,107,0,0.67893505,1453.157,1423.0629
11/6/2004,2005,WAS,MIA,106,118,0,0.40341023,1402.7236,1570.6952
11/7/2004,2005,LAL,ATL,106,90,1,0.84011924,1596.6007,1408.3828
11/7/2004,2005,SEA,SAS,113,94,1,0.37685859,1495.5317,1682.895
11/7/2004,2005,TOR,POR,101,97,1,0.50315768,1433.4856,1531.2914
11/8/2004,2005,DAL,GSW,101,98,1,0.82266128,1622.2001,1455.6331
11/8/2004,2005,LAC,DET,96,99,0,0.31319937,1412.7494,1649.1533
11/8/2004,2005,UTA,DEN,102,91,1,0.71351141,1567.7651,1509.2477
11/9/2004,2005,ATL,CLE,79,93,0,0.59877181,1404.7297,1435.1818
11/9/2004,2005,CHI,PHO,74,94,0,0.40968299,1352.6312,1516.0862
11/9/2004,2005,DEN,SEA,88,108,0,0.62256235,1503.6484,1516.7134
11/9/2004,2005,HOU,MEM,90,87,1,0.68252516,1531.2369,1498.2732
11/9/2004,2005,MIA,WAS,103,93,1,0.83822519,1579.5994,1393.8195
11/9/2004,2005,MIN,IND,101,102,0,0.62637222,1621.8217,1632.0643
11/9/2004,2005,NJN,POR,64,60,1,0.60414636,1498.4609,1525.0179
11/9/2004,2005,NOH,LAL,98,106,0,0.44950277,1465.0447,1600.2538
11/9/2004,2005,NYK,PHI,96,88,1,0.63718617,1416.8419,1419.0089
