date,season,home_team,away_team,home_pts,away_pts,home_win,home_win_prob,home_elo,away_elo,elo_diff,log_odds,is_upset_game,home_b2b,away_b2b,b2b_advantage,home_win_float,home_recent_wr,point_diff,month,season_odds,home_ml_prob,away_ml_prob,home_fair_prob,overround,open_spread,close_spread,open_total,close_total,prob_diff,elo_over_market,spread_implied_prob
2007-10-30,2008,GSW,UTA,96,117,0,0.6374712,1578.4064,1580.3591,-1.9526999999998225,0.5644051773683596,0,0,0,0,0.0,0.9,-21,10,2008,0.5455,0.5,0.5218,1.0455,3.0,1.0,214.5,212.0,-0.1157,1,0.4286
2007-10-30,2008,LAL,HOU,93,95,0,0.53600591,1481.0076,1555.9447,-74.9371000000001,0.1442733698980452,0,0,0,0,0.0,0.5,-2,10,2008,0.3448,0.697,0.331,1.0418,191.0,199.0,2.5,5.0,-0.205,1,0.05
2007-10-30,2008,SAS,POR,106,97,1,0.88222867,1669.8276,1420.011,249.8166000000001,2.0137064139631597,0,0,0,0,1.0,0.9,9,10,2008,0.9333,0.1,0.9032,1.0333,12.5,13.0,184.0,189.5,0.021,0,0.05
2007-10-31,2008,TOR,PHI,106,97,1,0.70602089,1525.1777,1472.9773,52.200399999999945,0.8761361124965865,0,0,0,0,1.0,0.8,9,10,2008,0.7531,0.2817,0.7278,1.0348,6.5,6.5,190.0,191.0,0.0218,0,0.05
2007-10-31,2008,ORL,MIL,102,83,1,0.78641897,1497.5459,1371.1094,126.43650000000002,1.3034733941631766,0,0,0,0,1.0,0.6,19,10,2008,0.7468,0.2899,0.7204,1.0367,8.0,6.5,198.5,197.0,-0.066,1,0.05
2007-10-31,2008,NJN,CHI,112,103,1,0.54128164,1530.0449,1601.2941,-71.24919999999997,0.1655033057399892,0,0,0,0,1.0,0.7,9,10,2008,0.5556,0.4878,0.5325,1.0434,2.0,1.5,188.0,186.0,-0.0088,1,0.3929
2007-10-31,2008,MEM,SAS,101,104,0,0.28957504,1415.7162,1671.619,-255.90279999999984,-0.8974488586516076,1,0,1,1,0.0,0.3,-3,10,2008,0.3226,0.7143,0.3111,1.0369,198.0,201.0,7.0,6.5,0.0215,0,0.05
2007-10-31,2008,IND,WAS,119,110,1,0.61271268,1424.637,1444.9475,-20.310500000000047,0.4587292657122573,0,0,0,0,1.0,0.4,9,10,2008,0.4878,0.5556,0.4675,1.0434,1.5,203.5,200.0,1.5,-0.1452,1,0.05
2007-10-31,2008,DEN,SEA,120,103,1,0.7826643,1562.9773,1440.3995,122.57780000000002,1.281260701054239,0,0,0,0,1.0,0.8,17,10,2008,0.8919,0.1379,0.8661,1.0298,10.5,11.5,213.0,217.5,0.0834,0,0.05
2007-10-31,2008,CLE,DAL,74,92,0,0.60032731,1591.7598,1621.0863,-29.326499999999896,0.4068290835023894,0,0,0,0,0.0,0.7,-18,10,2008,0.4545,0.5833,0.4379,1.0378,186.0,184.0,3.0,2.5,-0.1624,1,0.05
2007-11-01,2008,MIA,DET,80,91,0,0.4682951,1485.1366,1607.197,-122.06039999999985,-0.1269899853151447,1,0,0,0,0.0,0.6,-11,11,2008,0.3846,0.6552,0.3699,1.0398,181.0,178.5,4.0,4.0,-0.0984,1,0.05
2007-11-01,2008,SEA,PHO,99,106,0,0.36273018,1434.995,1632.8909,-197.8959000000002,-0.5635338946438323,1,1,0,-1,0.0,0.2,-7,11,2008,0.1481,0.8788,0.1442,1.0269,223.0,224.5,9.0,12.0,-0.2185,1,0.05
2007-11-01,2008,UTA,HOU,95,106,0,0.69439071,1603.8054,1561.2305,42.57490000000007,0.8207273254832964,0,0,0,0,0.0,0.7,-11,11,2008,0.6154,0.4167,0.5963,1.0321,3.5,3.0,191.0,193.0,-0.0981,1,0.2857
2007-11-02,2008,SAS,SAC,96,80,1,0.87554252,1674.4978,1435.5953,238.90250000000012,1.9508795775781047,0,0,0,0,1.0,0.9,16,11,2008,0.9524,0.0769,0.9253,1.0293,14.5,14.5,190.5,191.0,0.0498,0,0.05
2007-11-02,2008,PHO,LAL,98,119,0,0.81950021,1638.5508,1475.7218,162.82899999999995,1.5129650345601362,0,1,0,-1,0.0,0.8,-21,11,2008,0.8131,0.2151,0.7908,1.0282,10.0,8.0,217.0,215.5,-0.0287,1,0.05
2007-11-02,2008,ORL,DET,92,116,0,0.47976488,1503.2628,1617.3313,-114.06850000000009,-0.0809847145920216,1,0,1,1,0.0,0.7,-24,11,2008,0.6296,0.4,0.6115,1.0296,2.5,4.0,184.0,183.5,0.1317,0,0.2143
2007-11-02,2008,NJN,TOR,69,106,0,0.65125161,1538.7743,1530.2797,8.494599999999991,0.6245453457285658,0,0,0,0,0.0,0.8,-37,11,2008,0.6364,0.3922,0.6187,1.0286,5.0,4.0,192.5,193.5,-0.0326,1,0.2143
2007-11-02,2008,MIN,DEN,91,99,0,0.38713023,1388.5774,1568.3818,-179.8044000000002,-0.4593913199654171,1,0,0,0,0.0,0.2,-8,11,2008,0.241,0.7895,0.2339,1.0305,209.0,208.5,8.5,7.5,-0.1532,1,0.05
2007-11-02,2008,CHI,PHI,85,96,0,0.78472477,1592.5647,1467.8754,124.6893,1.293415691211113,0,0,0,0,0.0,0.8,-11,11,2008,0.8333,0.2,0.8064,1.0333,9.5,9.5,189.0,190.0,0.0217,0,0.05
2007-11-02,2008,IND,MIA,87,85,1,0.58091253,1431.7247,1475.0023,-43.27760000000012,0.3265205352724414,0,0,1,1,1.0,0.5,2,11,2008,0.7333,0.2985,0.7107,1.0318,6.5,6.5,186.5,192.0,0.1298,0,0.05
2007-11-02,2008,CLE,NYK,110,106,1,0.81038004,1572.3773,1420.0554,152.32190000000014,1.4524814590034312,0,0,0,0,1.0,0.6,4,11,2008,0.7143,0.3226,0.6889,1.0369,7.5,6.0,186.5,186.0,-0.1215,1,0.0714
2007-11-02,2008,CHA,MIL,102,99,1,0.76068366,1466.2852,1365.3925,100.8927000000001,1.1564313023046096,0,0,0,0,1.0,0.6,3,11,2008,0.6296,0.4,0.6115,1.0296,2.5,4.0,200.0,196.5,-0.1492,1,0.2143
2007-11-02,2008,BOS,WAS,103,83,1,0.5829491,1396.0364,1437.8597,-41.82330000000002,0.3348915964087137,0,0,0,0,1.0,0.4,20,11,2008,0.7701,0.2597,0.7478,1.0298,6.0,7.5,208.0,205.5,0.1649,0,0.05
2007-11-02,2008,ATL,DAL,101,94,1,0.30679232,1398.8612,1640.4688,-241.60760000000005,-0.8151586016910556,1,0,0,0,1.0,0.5,7,11,2008,0.3226,0.7143,0.3111,1.0369,192.0,191.0,6.0,5.5,0.0043,0,0.05
2007-11-02,2008,LAC,GSW,120,114,1,0.59716547,1523.3473,1554.9601,-31.612800000000107,0.3936683595893847,0,0,0,0,1.0,0.4,6,11,2008,0.5556,0.4878,0.5325,1.0434,2.0,1.5,209.0,211.0,-0.0647,1,0.3929
2007-11-03,2008,WAS,ORL,82,94,0,0.55619138,1424.8046,1485.5931,-60.78850000000011,0.2257190079307977,0,1,1,0,0.0,0.3,-12,11,2008,0.5652,0.4762,0.5427,1.0414,2.0,1.0,199.0,197.5,-0.0135,1,0.4286
2007-11-03,2008,UTA,GSW,133,110,1,0.6881451,1586.5442,1549.0532,37.49099999999999,0.7914616981219227,0,0,1,1,1.0,0.6,23,11,2008,0.8462,0.1905,0.8162,1.0367,8.5,9.5,212.5,215.5,0.1281,0,0.05
2007-11-03,2008,MIL,CHI,78,72,1,0.34886092,1363.0872,1571.4957,-208.4085,-0.6240499287318914,1,1,1,0,1.0,0.2,6,11,2008,0.3922,0.6364,0.3813,1.0286,193.5,193.0,2.5,4.0,0.0324,0,0.05
2007-11-03,2008,PHI,NJN,88,93,0,0.62203401,1488.9443,1502.3998,-13.455499999999802,0.4981905490284662,0,1,1,0,0.0,0.5,-5,11,2008,0.4348,0.6,0.4202,1.0348,186.5,186.5,2.5,3.0,-0.2018,1,0.05
2007-11-03,2008,HOU,POR,89,80,1,0.8233974,1578.4917,1411.0468,167.44489999999996,1.5395369354310398,0,0,1,1,1.0,0.7,9,11,2008,0.9091,0.125,0.8791,1.0341,12.0,11.5,203.5,203.0,0.0557,0,0.05
2007-11-03,2008,DAL,SAC,123,102,1,0.8448965,1627.3151,1432.8423,194.4728,1.6951214921865616,0,1,1,0,1.0,0.8,21,11,2008,0.9677,0.0625,0.9393,1.0302,14.5,15.5,189.5,189.0,0.0944,0,0.05
2007-11-03,2008,MEM,IND,111,121,0,0.6093595,1412.8374,1435.5989,-22.76150000000007,0.444620703267844,0,0,1,1,0.0,0.3,-10,11,2008,0.6875,0.3571,0.6581,1.0446,4.5,5.5,211.5,211.5,0.0487,0,0.1071
2007-11-04,2008,PHO,CLE,103,92,1,0.67756718,1603.3782,1574.3729,29.005300000000037,0.7426138989493754,0,0,0,0,1.0,0.7,11,11,2008,0.7778,0.2564,0.7521,1.0342,8.0,7.5,208.5,205.0,0.0745,0,0.05
2007-11-04,2008,DET,ATL,92,91,1,0.86521035,1635.001,1412.0149,222.98610000000008,1.859257234025388,0,0,0,0,1.0,0.7,1,11,2008,0.7778,0.2564,0.7521,1.0342,8.5,8.0,188.5,191.0,-0.1131,1,0.05
