date,season,away_team,home_team,away_pts,home_pts,home_win,open_spread,close_spread,open_total,close_total,away_ml,home_ml,away_ml_prob,home_ml_prob,overround,home_fair_prob
2007-10-30,2008,Portland,SanAntonio,97,106,1,12.5,13.0,184.0,189.5,900,-1400,0.1,0.9333,1.0333,0.9032
2007-10-30,2008,Utah,GoldenState,117,96,0,3.0,1.0,214.5,212.0,100,-120,0.5,0.5455,1.0455,0.5218
2007-10-30,2008,Houston,LALakers,95,93,0,191.0,199.0,2.5,5.0,-230,190,0.697,0.3448,1.0418,0.331
2007-10-31,2008,Philadelphia,Toronto,97,106,1,6.5,6.5,190.0,191.0,255,-305,0.2817,0.7531,1.0348,0.7278
2007-10-31,2008,Washington,Indiana,110,119,1,1.5,203.5,200.0,1.5,-125,105,0.5556,0.4878,1.0434,0.4675
2007-10-31,2008,Milwaukee,Orlando,83,102,1,8.0,6.5,198.5,197.0,245,-295,0.2899,0.7468,1.0367,0.7204
2007-10-31,2008,Chicago,NewJersey,103,112,1,2.0,1.5,188.0,186.0,105,-125,0.4878,0.5556,1.0434,0.5325
2007-10-31,2008,Dallas,Cleveland,92,74,0,186.0,184.0,3.0,2.5,-140,120,0.5833,0.4545,1.0378,0.4379
2007-10-31,2008,SanAntonio,Memphis,104,101,0,198.0,201.0,7.0,6.5,-250,210,0.7143,0.3226,1.0369,0.3111
2007-10-31,2008,Sacramento,NewOrleans,90,104,1,10.0,9.5,193.0,190.5,425,-525,0.1905,0.84,1.0305,0.8151
2007-10-31,2008,Seattle,Denver,103,120,1,10.5,11.5,213.0,217.5,625,-825,0.1379,0.8919,1.0298,0.8661
2007-11-01,2008,Detroit,Miami,91,80,0,181.0,178.5,4.0,4.0,-190,160,0.6552,0.3846,1.0398,0.3699
2007-11-01,2008,Houston,Utah,106,95,0,3.5,3.0,191.0,193.0,140,-160,0.4167,0.6154,1.0321,0.5963
2007-11-01,2008,Phoenix,Seattle,106,99,0,223.0,224.5,9.0,12.0,-725,575,0.8788,0.1481,1.0269,0.1442
2007-11-02,2008,Milwaukee,Charlotte,99,102,1,2.5,4.0,200.0,196.5,150,-170,0.4,0.6296,1.0296,0.6115
2007-11-02,2008,Detroit,Orlando,116,92,0,2.5,4.0,184.0,183.5,150,-170,0.4,0.6296,1.0296,0.6115
2007-11-02,2008,Miami,Indiana,85,87,1,6.5,6.5,186.5,192.0,235,-275,0.2985,0.7333,1.0318,0.7107
2007-11-02,2008,Toronto,NewJersey,106,69,0,5.0,4.0,192.5,193.5,155,-175,0.3922,0.6364,1.0286,0.6187
2007-11-02,2008,Dallas,Atlanta,94,101,1,192.0,191.0,6.0,5.5,-250,210,0.7143,0.3226,1.0369,0.3111
2007-11-02,2008,NewYork,Cleveland,106,110,1,7.5,6.0,186.5,186.0,210,-250,0.3226,0.7143,1.0369,0.6889
2007-11-02,2008,Washington,Boston,83,103,1,6.0,7.5,208.0,205.5,285,-335,0.2597,0.7701,1.0298,0.7478
2007-11-02,2008,Portland,NewOrleans,93,113,1,8.0,7.5,192.0,203.0,275,-325,0.2667,0.7647,1.0314,0.7414
2007-11-02,2008,Denver,Minnesota,99,91,0,209.0,208.5,8.5,7.5,-375,315,0.7895,0.241,1.0305,0.2339
2007-11-02,2008,Philadelphia,Chicago,96,85,0,9.5,9.5,189.0,190.0,400,-500,0.2,0.8333,1.0333,0.8064
2007-11-02,2008,Sacramento,SanAntonio,80,96,1,14.5,14.5,190.5,191.0,1200,-2000,0.0769,0.9524,1.0293,0.9253
2007-11-02,2008,LALakers,Phoenix,119,98,0,10.0,8.0,217.0,215.5,365,-435,0.2151,0.8131,1.0282,0.7908
2007-11-02,2008,GoldenState,LAClippers,114,120,1,2.0,1.5,209.0,211.0,105,-125,0.4878,0.5556,1.0434,0.5325
2007-11-03,2008,NewJersey,Philadelphia,93,88,0,186.5,186.5,2.5,3.0,-150,130,0.6,0.4348,1.0348,0.4202
